trip_id,user_id,user_type,bike_id,bike_type,start_station_id,end_station_id,start_time,end_time,duration_minutes,distance_km,status,distance,is_outlier,fare
TR10014,USR1122,casual,BK244,electric,ST106,ST103,2024-09-18 18:31:00,2024-09-18 18:49:56,18.9,8.34,completed,0.11904213884167268,False,5.7703563208262505
TR10015,USR1007,member,BK346,classic,ST113,ST102,2024-05-24 10:25:00,2024-05-24 11:47:11,82.2,12.62,completed,0.06825704467671839,False,6.579412852233837
TR10016,USR1061,member,BK251,classic,ST113,ST105,2024-02-17 13:44:00,2024-02-17 13:52:12,8.2,14.35,completed,0.027420019328947238,False,0.6573710009664473
TR10017,USR1150,member,BK312,classic,ST111,ST109,2024-05-23 10:21:00,2024-05-23 10:23:00,2.0,2.18,completed,0.14585251955657139,False,0.16729262597782857
TR10018,USR1192,casual,BK261,classic,ST109,ST104,2024-02-08 09:32:00,2024-02-08 09:47:37,15.6,9.92,completed,0.16933760013653099,False,5.035400640020479
TR10019,USR1174,casual,BK300,classic,ST109,ST102,2024-04-05 06:55:00,2024-04-05 07:21:52,26.9,2.86,completed,0.09810746335014421,False,5.044810746335013
TR10020,USR1105,member,BK262,electric,ST103,ST107,2024-06-26 08:59:00,2024-06-26 09:02:26,3.4,12.26,cancelled,0.14971625855931653,False,2.2874574387838975
TR10021,USR1156,member,BK283,electric,ST110,ST111,2024-10-11 18:11:00,2024-10-11 18:13:39,2.7,0.76,completed,0.10779380600479702,False,2.1236690709007195
TR10022,USR1141,casual,BK320,classic,ST109,ST109,2024-03-30 07:50:00,2024-03-30 07:58:16,8.3,2.21,completed,0.0,False,3.3675
TR10023,USR1014,casual,BK333,classic,ST112,ST108,2024-06-12 15:36:00,2024-06-12 16:10:43,34.7,12.2,,0.10427614483187862,False,6.215427614483188
TR10024,USR1023,casual,BK261,classic,ST106,ST113,2024-08-11 10:11:00,2024-08-11 10:25:00,14.0,11.39,completed,0.06304988587618233,False,3.106304988587618
TR10025,USR1174,member,BK328,classic,ST108,ST105,2024-07-05 22:35:00,2024-07-05 22:37:00,2.0,13.63,completed,0.03566193103296973,False,0.1617830965516485
TR10026,USR1004,member,BK283,electric,ST102,ST109,2024-05-23 10:34:00,2024-05-23 10:57:03,23.1,8.53,completed,0.09810746335014421,False,1.8529053731675074
TR10027,USR1141,member,BK333,classic,ST104,ST109,2024-07-04 12:13:00,2024-07-04 12:32:56,19.9,6.9,cancelled,0.16933760013653099,False,1.6004668800068265
TR10028,USR1081,member,BK346,electric,ST109,ST111,2024-09-09 11:06:00,2024-09-09 11:19:52,13.9,3.73,completed,0.14585251955657139,False,1.1192926259778286
TR10029,USR1062,casual,BK295,classic,ST105,ST102,2024-05-15 21:44:00,2024-05-15 21:55:34,11.6,12.29,,0.04161141401106151,False,2.7441611414011065
TR10030,USR1062,member,BK285,electric,ST102,ST112,2024-12-29 12:26:00,2024-12-29 12:33:08,7.1,5.29,completed,0.10411353120512228,False,0.5732056765602561
TR10031,USR1061,member,BK329,classic,ST103,ST111,2024-11-12 14:38:00,2024-11-12 15:12:15,34.3,8.96,,0.15732029489229982,False,2.7518660147446146
TR10032,USR1141,casual,BK329,electric,ST105,ST104,2024-05-13 17:44:00,2024-05-13 19:11:33,87.6,1.13,cancelled,0.1220758999352473,False,21.228311384990285
TR10033,USR1034,casual,BK244,classic,ST103,ST108,2024-02-16 14:48:00,2024-02-16 15:17:44,29.7,7.09,completed,0.09290205450903871,False,5.464290205450904
TR10034,USR1131,member,BK346,electric,ST109,ST107,2024-12-23 17:23:00,2024-12-23 17:47:11,24.2,4.52,completed,0.14050924284544408,False,6.966076386426816
TR10035,USR1052,casual,BK285,classic,ST104,ST108,2024-08-15 22:08:00,2024-08-15 22:17:15,9.3,12.3,completed,0.10968386886866972,False,2.405968386886867
TR10036,USR1163,member,BK253,electric,ST101,ST102,2024-09-12 10:46:00,2024-09-12 11:48:53,62.9,1.7,cancelled,0.026625732703536912,False,5.0333312866351765
TR10037,USR1162,member,BK285,electric,ST101,ST114,2024-06-25 16:20:00,2024-06-25 16:54:36,34.6,6.2,cancelled,0.05395769440960257,False,2.77069788472048
TR10038,USR1004,casual,BK283,classic,ST114,ST100,2024-11-06 11:27:00,2024-11-06 11:27:00,41.9,15.0,,0.11931503721241296,False,7.2969315037212406
TR10039,USR1150,member,BK241,electric,ST109,ST102,2024-05-24 19:08:00,2024-05-24 19:11:27,3.5,14.33,completed,0.09810746335014421,False,2.3022161195025213
TR10040,USR1162,member,BK270,electric,ST111,ST114,2024-03-12 12:25:00,2024-03-12 12:42:14,17.2,7.41,cancelled,0.016389647952289345,False,1.3768194823976143
TR10041,USR1053,member,BK323,electric,ST113,ST113,2024-09-07 22:47:00,2024-09-07 23:03:21,16.4,6.6,completed,0.0,False,1.3119999999999998
TR10042,USR1122,member,BK328,electric,ST111,ST101,2024-10-20 07:17:00,2024-10-20 07:29:26,12.4,6.84,cancelled,0.06849815642774768,False,4.300274723464162
TR10043,USR1043,member,BK235,electric,ST111,ST113,2024-09-03 15:50:00,2024-09-03 16:19:54,29.9,12.05,completed,0.07289762092139786,False,2.3956448810460698
TR10044,USR1014,member,BK253,classic,ST104,ST101,2024-09-18 07:12:00,2024-09-18 07:17:51,5.9,7.605,completed,0.08416475265216294,False,2.8401247128978246
TR10045,USR1187,member,BK312,classic,ST107,ST103,2024-12-25 09:55:00,2024-12-25 10:08:15,13.3,13.18,completed,0.14971625855931653,False,4.514957438783897
TR10046,USR1138,member,BK302,classic,ST104,ST104,2024-04-01 15:21:00,2024-04-01 15:23:19,2.3,2.25,completed,0.0,False,0.184
TR10047,USR1135,casual,BK261,classic,ST110,ST108,2024-10-08 20:56:00,2024-10-08 21:25:06,29.1,7.92,completed,0.05309374238081314,False,5.370309374238081
TR10048,USR1136,casual,BK229,electric,ST100,ST102,2024-09-09 20:46:00,2024-09-09 20:57:34,11.6,7.53,completed,0.09488869505373196,False,2.7494888695053734
TR10049,USR1161,member,BK346,classic,ST110,ST107,2024-01-07 08:46:00,2024-01-07 09:32:31,46.5,11.37,completed,0.09944023101843555,False,11.977416034652766
TR10050,USR1135,member,BK274,classic,ST108,ST106,2024-01-28 15:38:00,2024-01-28 15:47:43,9.7,3.57,completed,0.0266113006070721,False,0.7773305650303535
TR10051,USR1131,member,BK295,classic,ST103,ST109,2024-03-07 14:44:00,2024-03-07 15:00:19,16.3,8.97,completed,0.05431779599726354,False,1.3067158897998632
TR10052,USR1123,member,BK201,classic,ST108,ST104,2024-01-06 07:58:00,2024-01-06 08:09:00,11.0,14.8,completed,0.10968386886866972,False,3.9914525803303005
TR10053,USR1153,casual,BK295,classic,ST106,ST103,2024-12-15 16:29:00,2024-12-15 16:33:45,4.8,13.5,completed,0.11904213884167268,False,1.7319042138841672
TR10054,USR1032,member,BK328,electric,ST105,ST101,2024-08-07 16:03:00,2024-08-07 16:05:00,2.0,14.64,completed,0.0655530579759673,False,0.16327765289879836
TR10055,USR1013,member,BK300,classic,ST109,ST102,2024-06-21 17:04:00,2024-06-21 17:09:10,5.2,5.19,completed,0.09810746335014421,False,2.6847161195025215
TR10056,USR1133,member,BK251,electric,ST113,ST105,2024-10-19 16:35:00,2024-10-19 16:44:39,9.7,9.11,completed,0.027420019328947238,False,0.7773710009664473
TR10057,USR1064,casual,BK253,electric,ST112,ST107,2024-05-09 06:36:00,2024-05-09 06:38:00,2.0,2.19,completed,0.1423291451390039,False,1.3142329145139005
TR10058,USR1156,member,BK241,classic,ST104,ST113,2024-08-23 19:52:00,2024-08-23 20:24:48,32.8,14.11,completed,0.14262770359575944,False,8.901394155539363
TR10059,USR1163,member,BK227,classic,ST112,ST107,2024-09-23 14:36:00,2024-09-23 14:41:37,5.6,2.87,completed,0.1423291451390039,False,0.45511645725695016
TR10060,USR1187,member,BK280,classic,ST103,ST108,2024-08-24 15:24:00,2024-08-24 15:52:43,28.7,7.05,completed,0.09290205450903871,False,2.300645102725452
TR10061,USR1032,member,BK317,classic,ST114,ST114,2024-06-01 22:32:00,2024-06-01 22:44:25,12.4,8.21,completed,0.0,False,0.9920000000000001
TR10062,USR1014,casual,BK320,electric,ST106,ST102,2024-02-11 20:46:00,2024-02-11 21:10:11,24.2,8.24,cancelled,0.00757439165874099,False,4.630757439165874
TR10063,USR1064,casual,BK285,classic,ST104,ST110,2024-10-15 09:21:00,2024-10-15 09:52:17,31.3,7.66,completed,0.16183381738684804,False,8.566775072608028
TR10064,USR1062,casual,BK323,electric,ST107,ST103,2024-07-02 20:28:00,2024-07-02 20:47:24,19.4,7.55,completed,0.14971625855931653,False,3.9249716258559313
TR10065,USR1064,casual,BK295,classic,ST103,ST103,2024-10-08 16:26:00,2024-10-08 16:36:36,10.6,3.13,cancelled,0.0,False,2.59
TR10066,USR1032,member,BK251,classic,ST113,ST110,2024-08-05 18:39:00,2024-08-05 18:56:37,17.6,9.37,completed,0.056682769277796835,False,5.46850241539167
TR10067,USR1032,member,BK320,classic,ST103,ST104,2024-10-19 13:41:00,2024-10-19 14:17:52,36.9,5.93,completed,0.20023001569694882,False,2.9620115007848473
TR10068,USR1071,casual,BK241,electric,ST110,ST106,2024-09-13 19:36:00,2024-09-13 21:20:43,104.7,12.66,completed,0.07479924919409085,True,25.06871988737911
TR10069,USR1039,member,BK312,classic,ST107,ST114,2024-05-28 20:08:00,2024-05-28 20:42:05,34.1,3.48,completed,0.012820123712352386,False,2.728641006185618
TR10070,USR1128,casual,BK325,classic,ST109,ST110,2024-10-20 07:06:00,2024-10-20 07:16:39,10.7,11.19,completed,0.07560371293792417,False,3.9188405569406877
TR10071,USR1047,member,BK327,classic,ST107,ST108,2024-06-28 11:52:00,2024-06-28 12:53:34,61.6,5.75,completed,0.06161524750416907,False,4.931080762375208
TR10072,USR1162,casual,BK331,electric,ST106,ST100,2024-03-24 14:48:00,2024-03-24 15:08:22,20.4,12.98,completed,0.10210958549519314,False,4.070210958549519
TR10073,USR1007,member,BK227,classic,ST106,ST102,2024-07-29 22:44:00,2024-07-29 22:55:51,11.9,12.63,completed,0.00757439165874099,False,0.9523787195829371
TR10074,USR1034,member,BK315,classic,ST105,ST111,2024-04-22 11:50:00,2024-04-22 11:54:13,4.2,3.14,cancelled,0.05924607507675207,False,0.3389623037538376
TR10075,USR1161,casual,BK342,electric,ST101,ST111,2024-03-27 12:28:00,2024-03-27 12:41:06,13.1,8.5,completed,0.06849815642774768,False,2.971849815642775
TR10076,USR1138,casual,BK251,electric,ST102,ST102,2024-04-06 20:07:00,2024-04-06 20:09:37,2.6,4.03,completed,0.0,False,1.3900000000000001
TR10077,USR1189,member,BK312,electric,ST105,ST104,2024-08-10 21:17:00,2024-08-10 21:19:00,2.0,1.74,completed,0.1220758999352473,False,0.16610379499676237
TR10078,USR1103,casual,BK283,classic,ST111,ST101,2024-01-02 06:46:00,2024-01-02 07:10:30,24.5,5.37,cancelled,0.06849815642774768,False,4.681849815642774
TR10079,USR1199,casual,BK261,electric,ST104,ST105,2024-09-12 14:33:00,2024-09-12 15:22:20,49.3,3.68,,0.1220758999352473,False,8.407207589993524
TR10080,USR1189,member,BK317,classic,ST113,ST106,2024-05-07 22:49:00,2024-05-07 22:51:00,2.0,4.4,completed,0.06304988587618233,False,0.16315249429380912
TR10081,USR1087,casual,BK261,electric,ST113,ST103,2024-06-02 18:33:00,2024-06-02 18:40:56,7.9,0.77,cancelled,0.11085416615084834,False,3.294128124922627
TR10082,USR1070,member,BK302,classic,ST104,ST108,2024-03-16 15:21:00,2024-03-16 15:24:40,3.7,13.55,cancelled,0.10968386886866972,False,0.3014841934434335
TR10083,USR1174,member,BK329,electric,ST106,ST109,2024-06-21 22:25:00,2024-06-21 22:37:57,13.0,11.68,completed,0.10406607771027061,False,1.0452033038855135
TR10084,USR1040,member,BK302,classic,ST104,ST103,2024-10-08 16:39:00,2024-10-08 16:53:22,14.4,7.605,completed,0.20023001569694882,False,1.1620115007848475
TR10085,USR1150,member,BK325,electric,ST105,ST104,2024-11-07 06:57:00,2024-11-07 06:59:00,2.0,4.3,completed,0.1220758999352473,False,0.16610379499676237
TR10086,USR1087,member,BK274,classic,ST109,ST101,2024-03-13 14:39:00,2024-03-13 15:11:33,32.6,7.68,completed,0.08678809469621979,False,2.612339404734811
TR10087,USR1162,casual,BK261,electric,ST104,ST111,2024-06-20 11:33:00,2024-06-20 11:35:43,2.7,5.06,completed,0.07323195609158718,False,1.4123231956091586
TR10088,USR1089,member,BK295,classic,ST114,ST111,2024-11-13 21:23:00,2024-11-13 21:58:30,35.5,9.76,completed,0.016389647952289345,False,2.8408194823976145
TR10089,USR1043,member,BK283,electric,ST111,ST114,2024-02-28 14:44:00,2024-02-28 15:11:42,27.7,1.14,completed,0.016389647952289345,False,2.216819482397615
TR10090,USR1088,member,BK336,classic,ST106,ST113,2024-11-30 12:08:00,2024-11-30 12:13:20,5.3,2.17,completed,0.06304988587618233,False,0.4271524942938091
TR10091,USR1070,casual,BK327,electric,ST100,ST113,2024-06-07 08:43:00,2024-06-07 08:46:12,3.2,1.62,completed,0.15908859848838716,False,2.243863289773258
TR10092,USR1171,member,BK253,classic,ST114,ST107,2024-01-04 18:17:00,2024-01-04 18:35:21,18.4,6.69,cancelled,0.012820123712352386,False,5.641923018556852
TR10093,USR1052,member,BK300,electric,ST110,ST106,2024-09-25 18:17:00,2024-09-25 19:26:56,69.9,12.08,,0.07479924919409085,False,17.238719887379116
TR10094,USR1163,member,BK241,classic,ST108,ST107,2024-08-23 20:56:00,2024-08-23 21:32:33,36.6,6.56,completed,0.06161524750416907,False,2.931080762375209
TR10095,USR1014,casual,BK228,classic,ST113,ST107,2024-06-06 09:17:00,2024-06-06 09:23:39,6.7,1.11,completed,0.06387139431701704,False,3.0170807091475527
TR10096,USR1138,casual,BK229,classic,ST103,ST111,2024-07-05 10:36:00,2024-07-05 10:38:20,2.3,6.55,cancelled,0.15732029489229982,False,1.36073202948923
TR10097,USR1004,member,BK251,electric,ST108,ST106,2024-02-21 09:58:00,2024-02-21 10:10:50,12.8,12.65,completed,0.0266113006070721,False,4.383991695091061
TR10098,USR1013,casual,BK346,classic,ST100,ST109,2024-09-15 11:04:00,2024-09-15 11:06:00,2.0,14.55,cancelled,0.09319737786010675,False,1.3093197377860106
TR10099,USR1000,member,BK295,classic,ST102,ST101,2024-12-03 22:23:00,2024-12-03 23:19:55,56.9,7.22,completed,0.026625732703536912,False,4.553331286635176
TR10100,USR1070,member,BK274,classic,ST108,ST107,2024-11-18 14:02:00,2024-11-18 14:02:00,77.9,13.0,completed,0.06161524750416907,False,6.235080762375208
TR10101,USR1032,member,BK312,classic,ST107,ST111,2024-02-07 13:58:00,2024-02-07 14:30:07,32.1,7.69,completed,0.009099412948097053,False,2.568454970647405
TR10102,USR1070,member,BK302,classic,ST100,ST101,2024-02-09 18:31:00,2024-02-09 18:49:08,18.1,13.64,completed,0.06826309410654922,False,5.582739464115983
TR10103,USR1003,member,BK251,electric,ST100,ST105,2024-08-03 21:39:00,2024-08-03 21:46:02,7.0,2.78,completed,0.13177245457606127,False,0.5665886227288032
TR10104,USR1153,casual,BK283,electric,ST103,ST114,2024-06-03 11:59:00,2024-06-03 12:03:19,4.3,13.27,cancelled,0.14189984716341533,False,1.6591899847163416
TR10105,USR1003,casual,BK329,electric,ST104,ST113,2024-02-08 09:01:00,2024-02-08 09:45:36,44.6,7.86,completed,0.14262770359575944,False,11.556394155539364
TR10106,USR1061,casual,BK328,classic,ST107,ST114,2024-12-19 18:34:00,2024-12-19 18:37:26,3.4,4.61,completed,0.012820123712352386,False,2.2669230185568527
TR10107,USR1043,member,BK235,electric,ST112,ST105,2024-07-14 09:49:00,2024-07-14 11:02:34,73.6,2.91,completed,0.13959318368745596,False,18.080938977553117
TR10108,USR1102,member,BK331,classic,ST107,ST110,2024-07-28 19:46:00,2024-07-28 21:12:44,86.7,11.37,completed,0.09944023101843555,False,21.022416034652764
TR10109,USR1088,casual,BK265,electric,ST114,ST114,2024-02-27 07:45:00,2024-02-27 08:00:48,15.8,14.19,completed,0.0,False,5.055
TR10110,USR1134,member,BK328,electric,ST103,ST101,2024-06-23 19:19:00,2024-06-23 19:45:34,26.6,4.46,,0.11683990294843889,False,7.502525985442267
TR10111,USR1064,member,BK265,electric,ST104,ST110,2024-03-24 11:18:00,2024-03-24 11:26:00,8.0,14.77,completed,0.16183381738684804,False,0.6480916908693424
TR10112,USR1138,member,BK274,classic,ST100,ST108,2024-10-06 17:17:00,2024-10-06 18:06:56,49.9,7.36,,0.0969334706383672,False,12.742040020595752
TR10113,USR1034,member,BK227,electric,ST114,ST110,2024-06-22 12:02:00,2024-06-22 12:41:50,39.8,4.77,cancelled,0.09376096896363766,False,3.1886880484481814
TR10114,USR1061,member,BK243,classic,ST113,ST106,2024-09-29 17:19:00,2024-09-29 17:33:03,14.1,3.41,completed,0.06304988587618233,False,4.681957482881427
TR10115,USR1064,member,BK315,classic,ST107,ST107,2024-03-04 18:16:00,2024-03-04 18:18:00,2.0,1.55,completed,0.0,False,1.9500000000000002
TR10116,USR1040,member,BK243,electric,ST111,ST105,2024-09-23 14:16:00,2024-09-23 14:18:42,2.7,8.78,completed,0.05924607507675207,False,0.21896230375383763
TR10117,USR1039,casual,BK243,classic,ST107,ST101,2024-12-18 07:32:00,2024-12-18 07:34:17,2.3,5.58,completed,0.06676944680016574,False,2.027515417020025
TR10118,USR1047,casual,BK262,electric,ST109,ST113,2024-05-01 20:33:00,2024-05-01 20:35:00,2.0,10.22,,0.12552883683441013,False,1.312552883683441
TR10119,USR1150,member,BK330,classic,ST108,ST106,2024-08-10 14:49:00,2024-08-10 15:57:24,68.4,14.24,completed,0.0266113006070721,False,5.473330565030354
TR10120,USR1105,member,BK283,classic,ST103,ST103,2024-11-09 08:40:00,2024-11-09 08:44:28,4.5,6.86,completed,0.0,False,2.5124999999999997
TR10121,USR1187,member,BK280,classic,ST102,ST109,2024-05-26 19:35:00,2024-05-26 20:09:05,34.1,13.14,completed,0.09810746335014421,False,9.187216119502521
TR10122,USR1040,casual,BK265,classic,ST102,ST105,2024-02-06 14:58:00,2024-02-06 15:24:16,26.3,3.39,completed,0.04161141401106151,False,4.949161141401106
TR10123,USR1162,casual,BK300,classic,ST113,ST104,2024-06-07 10:03:00,2024-06-07 10:36:14,33.2,11.63,completed,0.14262770359575944,False,5.994262770359576
TR10124,USR1011,member,BK329,classic,ST109,ST104,2024-12-19 09:01:00,2024-12-19 09:23:45,22.8,12.0,completed,0.16933760013653099,False,6.6554006400204795
TR10125,USR1087,member,BK211,classic,ST101,ST107,2024-01-21 20:32:00,2024-01-21 20:35:31,3.5,10.88,cancelled,0.06676944680016574,False,0.2833384723400083
TR10126,USR1100,member,BK261,classic,ST104,ST104,2024-02-10 20:13:00,2024-02-10 20:31:04,18.1,5.71,completed,0.0,False,1.4480000000000002
TR10127,USR1080,member,BK320,electric,ST101,ST102,2024-08-16 10:00:00,2024-08-16 10:37:07,37.1,2.4,,0.026625732703536912,False,2.969331286635177
TR10128,USR1128,casual,BK270,classic,ST113,ST109,2024-04-02 15:11:00,2024-04-02 15:55:08,44.1,6.75,completed,0.12552883683441013,False,7.627552883683442
TR10129,USR1135,member,BK286,classic,ST103,ST111,2024-04-30 16:36:00,2024-04-30 16:47:01,11.0,8.24,completed,0.15732029489229982,False,0.887866014744615
TR10130,USR1156,member,BK295,electric,ST111,ST110,2024-11-29 07:08:00,2024-11-29 07:26:56,18.9,14.08,completed,0.10779380600479702,False,5.768669070900719
TR10131,USR1128,casual,BK302,classic,ST100,ST100,2024-06-27 19:11:00,2024-06-27 19:15:00,4.0,14.81,,0.0,False,2.4000000000000004
TR10132,USR1062,casual,BK312,electric,ST106,ST114,2024-07-02 20:42:00,2024-07-02 20:58:46,16.8,10.17,completed,0.02540783825908858,False,3.522540783825909
TR10133,USR1080,member,BK302,classic,ST106,ST107,2024-12-06 06:54:00,2024-12-06 07:21:54,27.9,6.93,cancelled,0.03699838949197564,False,2.2338499194745984
TR10134,USR1130,member,BK274,electric,ST110,ST109,2024-04-23 22:25:00,2024-04-23 23:15:47,50.8,8.77,completed,0.07560371293792417,False,4.067780185646896
TR10135,USR1036,member,BK295,electric,ST102,ST114,2024-05-21 21:04:00,2024-05-21 21:25:31,21.5,5.55,completed,0.03187891146196827,False,1.7215939455730984
TR10136,USR1080,casual,BK258,electric,ST108,ST112,2024-03-13 18:30:00,2024-03-13 19:03:31,33.5,13.24,completed,0.10427614483187862,False,9.053141421724781
TR10137,USR1190,member,BK241,electric,ST112,ST108,2024-10-05 18:10:00,2024-10-05 18:21:46,11.8,4.8,completed,0.10427614483187862,False,4.170641421724782
TR10138,USR1053,member,BK336,classic,ST104,ST102,2024-11-11 06:48:00,2024-11-11 07:07:43,19.7,6.94,completed,0.08753821186773444,False,1.5803769105933867
TR10139,USR1039,casual,BK274,electric,ST101,ST113,2024-09-21 08:20:00,2024-09-21 09:09:45,49.8,8.03,completed,0.09290662931136935,False,12.718935994396706
TR10140,USR1128,member,BK238,classic,ST104,ST114,2024-10-26 09:14:00,2024-10-26 09:26:32,12.5,8.47,completed,0.07694086899041135,False,4.3240411303485615
TR10141,USR1003,member,BK243,classic,ST114,ST104,2024-05-03 20:24:00,2024-05-03 20:50:34,26.6,6.01,completed,0.07694086899041135,False,2.1318470434495205
TR10142,USR1014,casual,BK226,classic,ST103,ST104,2024-02-21 19:26:00,2024-02-21 20:32:20,66.3,8.22,completed,0.20023001569694882,False,16.447534502354543
TR10143,USR1174,member,BK286,classic,ST103,ST109,2024-12-10 16:06:00,2024-12-10 16:34:34,28.6,3.13,completed,0.05431779599726354,False,2.2907158897998636
TR10144,USR1080,member,BK325,classic,ST107,ST103,2024-03-24 09:53:00,2024-03-24 10:33:59,41.0,8.48,completed,0.14971625855931653,False,10.747457438783897
TR10145,USR1087,casual,BK342,electric,ST104,ST105,2024-08-07 14:25:00,2024-08-07 14:30:57,6.0,9.36,completed,0.1220758999352473,False,1.9122075899935247
TR10146,USR1004,member,BK202,classic,ST110,ST104,2024-03-08 09:59:00,2024-03-08 10:26:49,27.8,12.24,completed,0.16183381738684804,False,7.779275072608027
TR10147,USR1190,member,BK336,classic,ST100,ST102,2024-04-17 07:32:00,2024-04-17 07:38:06,6.1,1.89,completed,0.09488869505373196,False,2.88673330425806
TR10148,USR1161,member,BK262,classic,ST109,ST108,2024-03-18 18:56:00,2024-03-18 19:13:10,17.2,14.82,completed,0.07911186921063063,False,5.3818667803815945
TR10149,USR1014,member,BK295,classic,ST108,ST100,2024-10-06 19:18:00,2024-10-06 19:41:06,23.1,5.39,cancelled,0.0969334706383672,False,6.712040020595754
TR10150,USR1032,member,BK251,classic,ST108,ST107,2024-12-18 11:40:00,2024-12-18 12:04:00,24.0,6.91,cancelled,0.06161524750416907,False,1.9230807623752084
TR10151,USR1174,casual,BK283,electric,ST107,ST105,2024-07-18 08:53:00,2024-07-18 08:59:33,6.6,7.12,completed,0.050466934917826375,False,2.9925700402376734
TR10152,USR1153,member,BK330,classic,ST102,ST101,2024-10-12 13:21:00,2024-10-12 13:41:39,20.7,14.39,completed,0.026625732703536912,False,1.6573312866351768
TR10153,USR1145,casual,BK226,classic,ST113,ST113,2024-04-30 21:11:00,2024-04-30 21:21:40,10.7,10.14,completed,0.0,False,2.6049999999999995
TR10154,USR1100,casual,BK243,classic,ST107,ST105,2024-01-05 13:55:00,2024-01-05 14:14:24,19.4,12.71,completed,0.050466934917826375,False,3.9150466934917825
TR10155,USR1014,casual,BK312,electric,ST100,ST104,2024-09-28 17:37:00,2024-09-28 17:41:20,4.3,1.42,completed,0.10969716541460797,False,2.4839545748121914
TR10156,USR1034,casual,BK333,classic,ST101,ST110,2024-09-05 14:00:00,2024-09-05 14:09:06,9.1,6.26,completed,0.08604972776830942,False,2.3736049727768314
TR10157,USR1062,member,BK336,electric,ST110,ST114,2024-12-07 10:51:00,2024-12-07 10:56:50,5.8,13.99,completed,0.09376096896363766,False,0.46868804844818185
TR10158,USR1171,member,BK291,classic,ST113,ST105,2024-03-07 21:06:00,2024-03-07 21:15:05,9.1,1.67,completed,0.027420019328947238,False,0.7293710009664474
TR10159,USR1053,member,BK241,classic,ST103,ST101,2024-09-12 15:24:00,2024-09-12 15:45:24,21.4,7.45,completed,0.11683990294843889,False,1.717841995147422
TR10160,USR1014,member,BK295,electric,ST112,ST103,2024-01-25 18:52:00,2024-01-25 18:55:14,3.2,7.43,completed,0.1438121904603346,False,2.2415718285690502
TR10161,USR1128,casual,BK323,electric,ST111,ST112,2024-01-31 19:19:00,2024-01-31 19:33:28,14.5,2.03,completed,0.1421125814275423,False,4.783816887214131
TR10162,USR1001,member,BK336,classic,ST102,ST104,2024-09-22 07:10:00,2024-09-22 07:45:05,35.1,9.48,completed,0.08753821186773444,False,9.41063073178016
TR10163,USR1043,casual,BK250,electric,ST113,ST102,2024-09-19 21:15:00,2024-09-19 21:17:00,2.0,7.89,,0.06825704467671839,False,1.3068257044676719
TR10164,USR1103,member,BK291,classic,ST103,ST103,2024-05-03 11:38:00,2024-05-03 12:10:12,32.2,11.99,completed,0.0,False,2.576
TR10165,USR1014,member,BK307,electric,ST104,ST112,2024-03-26 10:54:00,2024-03-26 11:07:27,13.5,7.48,completed,0.12121108156022692,False,1.0860605540780115
